decile,upper_limit_nis,households_sample,households_population_thousands,avg_persons,avg_std_persons,avg_earners,gross_income,compulsory_payments,net_income,consumption_expenditure
10,,612.0,292.7,2.5,2.3,1.6,55141.0,14691.0,40450.0,23392.0
9,15133.0,550.0,291.9,2.6,2.3,1.6,33548.0,6833.0,26714.0,16751.0
8,12003.0,551.0,292.1,2.9,2.5,1.7,28109.0,4927.0,23181.0,15756.0
7,10086.0,536.0,291.8,3.0,2.6,1.7,24122.0,3755.0,20368.0,15871.0
6,8716.0,545.0,292.2,3.1,2.6,1.6,20310.0,2635.0,17675.0,13960.0
5,7417.0,516.0,292.0,3.1,2.6,1.5,17218.0,1882.0,15336.0,13401.0
4,6348.0,562.0,293.0,3.2,2.7,1.4,14287.0,1250.0,13037.0,12251.0
3,5251.0,554.0,291.1,3.2,2.6,1.2,11330.0,794.0,10536.0,11903.0
2,4217.0,537.0,292.3,3.8,3.0,1.1,9790.0,627.0,9163.0,11159.0
1,3051.0,515.0,291.6,4.4,3.3,0.9,6193.0,340.0,5852.0,10799.0
